Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6927488e+18,0.0,1.6927974e+18,48.35,28.8,28.15,30.0,21.450000000000003,1.9500000000000002,711.05,0.0
1.6927488e+18,0.0,1.6927983e+18,47.725,28.950000000000003,28.325,30.25,21.525000000000002,2.025,707.475,0.0
1.6927488e+18,0.0,1.6927992e+18,47.1,29.1,28.5,30.5,21.6,2.1,703.9,0.0
1.6927488e+18,0.0,1.6928001e+18,46.65,29.125,28.6,30.525,21.675,2.175,685.85,0.0
1.6927488e+18,0.0,1.692801e+18,46.2,29.15,28.7,30.55,21.75,2.25,667.8,0.0
1.6927488e+18,0.0,1.6928019e+18,45.75,29.175,28.799999999999997,30.575000000000003,21.825,2.325,649.75,0.0
1.6927488e+18,0.0,1.6928028e+18,45.3,29.2,28.9,30.6,21.9,2.4,631.7,0.0
1.6927488e+18,0.0,1.6928037e+18,45.199999999999996,29.075,28.9,30.5,21.974999999999998,2.475,605.0,0.0
1.6927488e+18,0.0,1.6928046e+18,45.099999999999994,28.95,28.9,30.4,22.049999999999997,2.55,578.3,0.0
1.6927488e+18,0.0,1.6928055e+18,45.0,28.825,28.9,30.3,22.125,2.625,551.6,0.0
1.6927488e+18,0.0,1.6928064e+18,44.9,28.7,28.9,30.2,22.2,2.7,524.9,0.0
1.6927488e+18,0.0,1.6928073e+18,44.85,28.45,28.825,29.925,22.25,2.7,484.72499999999997,0.0
1.6927488e+18,0.0,1.6928082e+18,44.8,28.2,28.75,29.65,22.299999999999997,2.7,444.54999999999995,0.0
1.6927488e+18,0.0,1.6928091e+18,44.75,27.95,28.675,29.375,22.349999999999998,2.7,404.375,0.0
1.6927488e+18,0.0,1.69281e+18,44.7,27.7,28.6,29.1,22.4,2.7,364.2,0.0
1.6927488e+18,0.0,1.6928109e+18,45.1,27.325,28.400000000000002,28.650000000000002,22.424999999999997,2.575,325.775,0.0
1.6927488e+18,0.0,1.6928118e+18,45.5,26.95,28.200000000000003,28.200000000000003,22.45,2.45,287.35,0.0
1.6927488e+18,0.0,1.6928127e+18,45.9,26.575,28.0,27.75,22.475,2.325,248.925,0.0
1.6927488e+18,0.0,1.6928136e+18,46.3,26.2,27.8,27.3,22.5,2.2,210.5,0.0
1.6927488e+18,0.0,1.6928145e+18,48.775,25.35,27.175,27.05,22.5,1.975,173.4,0.0
1.6927488e+18,0.0,1.6928154e+18,51.25,24.5,26.55,26.8,22.5,1.75,136.3,0.0
1.6927488e+18,0.0,1.6928163e+18,53.725,23.65,25.925,26.55,22.5,1.5250000000000001,99.19999999999999,0.0
1.6927488e+18,0.0,1.6928172e+18,56.2,22.8,25.3,26.3,22.5,1.3,62.1,0.0
1.6927488e+18,0.0,1.6928181e+18,60.95,21.6,24.425,26.05,22.475,1.125,46.675,0.0
1.6927488e+18,0.0,1.692819e+18,65.7,20.4,23.55,25.8,22.45,0.95,31.25,0.0
1.6927488e+18,0.0,1.6928199e+18,70.45,19.2,22.675,25.55,22.424999999999997,0.775,15.824999999999996,0.0
1.6927488e+18,0.0,1.6928208e+18,75.2,18.0,21.8,25.3,22.4,0.6,0.4,0.0
1.6927488e+18,0.0,1.6928217e+18,77.425,17.55,21.275,25.075,22.349999999999998,0.6,0.30000000000000004,0.0
1.6927488e+18,0.0,1.6928226e+18,79.65,17.1,20.75,24.85,22.299999999999997,0.6,0.2,0.0
1.6927488e+18,0.0,1.6928235e+18,81.875,16.65,20.225,24.625,22.25,0.6,0.09999999999999998,0.0
1.6927488e+18,0.0,1.6928244e+18,84.1,16.2,19.7,24.4,22.2,0.6,0.0,0.0
1.6927488e+18,0.0,1.6928253e+18,85.55,15.899999999999999,19.35,24.224999999999998,22.15,0.525,0.0,0.0
1.6927488e+18,0.0,1.6928262e+18,87.0,15.6,19.0,24.049999999999997,22.1,0.44999999999999996,0.0,0.0
1.6927488e+18,0.0,1.6928271e+18,88.45,15.3,18.65,23.875,22.05,0.375,0.0,0.0
1.6927488e+18,0.0,1.692828e+18,89.9,15.0,18.3,23.7,22.0,0.3,0.0,0.0
1.6927488e+18,0.0,1.6928289e+18,90.47500000000001,14.825,18.075,23.55,21.95,0.325,0.0,0.0
1.6927488e+18,0.0,1.6928298e+18,91.05000000000001,14.65,17.85,23.4,21.9,0.35,0.0,0.0
1.6927488e+18,0.0,1.6928307e+18,91.625,14.475000000000001,17.625,23.25,21.85,0.375,0.0,0.0
1.6927488e+18,0.0,1.6928316e+18,92.2,14.3,17.4,23.1,21.8,0.4,0.0,0.0
1.6927704e+18,0.0,1.6928325e+18,92.75,14.125,17.2,22.975,21.75,0.35000000000000003,0.0,0.0
1.692792e+18,0.0,1.6928334e+18,93.30000000000001,13.95,17.0,22.85,21.700000000000003,0.30000000000000004,0.0,0.0
1.6928136e+18,0.0,1.6928343e+18,93.85000000000001,13.775,16.8,22.725,21.650000000000002,0.25,0.0,0.0
1.6928352e+18,0.0,1.6928352e+18,94.4,13.6,16.6,22.6,21.6,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928361e+18,95.0,13.45,16.425,22.475,21.55,0.225,0.0,0.0
1.6928352e+18,0.0,1.692837e+18,95.6,13.3,16.25,22.35,21.5,0.25,0.0,0.0
1.6928352e+18,0.0,1.6928379e+18,96.2,13.15,16.075,22.225,21.45,0.275,0.0,0.0
1.6928352e+18,0.0,1.6928388e+18,96.8,13.0,15.9,22.1,21.4,0.3,0.0,0.0
1.6928352e+18,0.0,1.6928397e+18,96.925,12.9,15.725,22.025000000000002,21.349999999999998,0.325,0.0,0.0
1.6928352e+18,0.0,1.6928406e+18,97.05,12.8,15.55,21.950000000000003,21.299999999999997,0.35,0.0,0.0
1.6928352e+18,0.0,1.6928415e+18,97.175,12.7,15.375,21.875,21.25,0.375,0.0,0.0
1.6928352e+18,0.0,1.6928424e+18,97.3,12.6,15.2,21.8,21.2,0.4,0.0,0.0
1.6928352e+18,0.0,1.6928433e+18,97.575,12.5,15.075,21.7,21.15,0.35000000000000003,0.0,0.0
1.6928352e+18,0.0,1.6928442e+18,97.85,12.399999999999999,14.95,21.6,21.1,0.30000000000000004,0.0,0.0
1.6928352e+18,0.0,1.6928451e+18,98.125,12.299999999999999,14.825,21.5,21.05,0.25,0.0,0.0
1.6928352e+18,0.0,1.692846e+18,98.4,12.2,14.7,21.4,21.0,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928469e+18,98.5,12.149999999999999,14.575,21.325,20.975,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928478e+18,98.6,12.1,14.45,21.25,20.95,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928487e+18,98.7,12.05,14.325,21.175,20.924999999999997,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928496e+18,98.8,12.0,14.2,21.1,20.9,0.2,0.0,0.0
1.6928352e+18,0.0,1.6928505e+18,98.85,12.025,14.174999999999999,21.05,20.849999999999998,0.25,0.0,0.0
1.6928352e+18,0.0,1.6928514e+18,98.9,12.05,14.149999999999999,21.0,20.799999999999997,0.30000000000000004,0.0,0.0
1.6928352e+18,0.0,1.6928523e+18,98.95,12.075,14.125,20.95,20.75,0.35000000000000003,0.0,0.0
1.6928352e+18,0.0,1.6928532e+18,99.0,12.1,14.1,20.9,20.7,0.4,0.0,0.0
1.6928352e+18,0.0,1.6928541e+18,99.05,12.1,14.025,20.849999999999998,20.65,0.375,2.825,0.0
1.6928352e+18,0.0,1.692855e+18,99.1,12.1,13.95,20.799999999999997,20.6,0.35,5.65,0.0
1.6928352e+18,0.0,1.6928559e+18,99.15,12.1,13.875,20.75,20.55,0.325,8.475000000000001,0.0
1.6928352e+18,0.0,1.6928568e+18,99.2,12.1,13.8,20.7,20.5,0.3,11.3,0.0
1.6928352e+18,0.0,1.6928577e+18,98.75,12.85,14.225000000000001,20.775,20.475,0.35,29.35,0.0
1.6928352e+18,0.0,1.6928586e+18,98.30000000000001,13.6,14.65,20.85,20.45,0.4,47.400000000000006,0.0
1.6928352e+18,0.0,1.6928595e+18,97.85000000000001,14.35,15.075,20.925,20.424999999999997,0.45,65.45,0.0
1.6928352e+18,0.0,1.6928604e+18,97.4,15.1,15.5,21.0,20.4,0.5,83.5,0.0
1.6928352e+18,0.0,1.6928613e+18,95.85000000000001,15.6,16.0,21.15,20.349999999999998,0.625,93.025,0.0
1.6928352e+18,0.0,1.6928622e+18,94.30000000000001,16.1,16.5,21.3,20.299999999999997,0.75,102.55,0.0
