Time,AIRTEMP,GROUNDTEMP,AIRP,PRECIPITATION,RH,RH_GROUND,WINDSPEED,WINDSPEED_MIN,WINDSPEED_MAX,RAD,DateTime
1692845100000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 02:45:00
1692846000000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 03:00:00
1692846900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 03:15:00
1692847800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 03:30:00
1692848700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 03:45:00
1692849600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 04:00:00
1692850500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 04:15:00
1692851400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 04:30:00
1692852300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 04:45:00
1692853200000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 05:00:00
1692854100000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 05:15:00
1692855000000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 05:30:00
1692855900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 05:45:00
1692856800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 06:00:00
1692857700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 06:15:00
1692858600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 06:30:00
1692859500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 06:45:00
1692860400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 07:00:00
1692861300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 07:15:00
1692862200000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 07:30:00
1692863100000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 07:45:00
1692864000000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 08:00:00
1692864900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 08:15:00
1692865800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 08:30:00
1692866700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 08:45:00
1692867600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 09:00:00
1692868500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 09:15:00
1692869400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 09:30:00
1692870300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 09:45:00
1692871200000000000,24.2,0.0,973.97,0.0,100.0,0.0,2.45,1.04,3.92,0.0,2023-08-24 10:00:00
1692872100000000000,24.2,0.0,973.97,0.0,100.0,0.0,2.45,1.04,3.92,0.0,2023-08-24 10:15:00
1692873000000000000,26.8,0.0,974.23,0.0,100.0,0.0,3.12,1.72,4.6,0.0,2023-08-24 10:30:00
1692873900000000000,26.8,0.0,974.23,0.0,100.0,0.0,3.12,1.72,4.6,0.0,2023-08-24 10:45:00
1692874800000000000,26.9,0.0,976.52,0.0,100.0,0.0,3.09,0.96,4.76,0.0,2023-08-24 11:00:00
1692875700000000000,26.9,0.0,976.52,0.0,100.0,0.0,3.09,0.96,4.76,0.0,2023-08-24 11:15:00
1692876600000000000,28.3,0.0,978.5,0.0,100.0,0.0,3.59,1.68,6.09,0.0,2023-08-24 11:30:00
1692877500000000000,28.3,0.0,978.5,0.0,98.7,0.0,3.59,1.68,6.09,0.0,2023-08-24 11:45:00
1692878400000000000,29.8,0.0,977.6,0.0,98.7,0.0,3.25,0.92,5.36,0.0,2023-08-24 12:00:00
1692879300000000000,29.8,0.0,977.6,0.0,90.4,0.0,3.25,0.92,5.36,0.0,2023-08-24 12:15:00
1692880200000000000,29.8,0.0,977.6,0.0,90.4,0.0,3.25,0.92,5.36,0.0,2023-08-24 12:30:00
1692881100000000000,31.1,0.0,982.19,0.0,90.4,0.0,3.86,1.28,5.81,0.0,2023-08-24 12:45:00
1692882000000000000,31.1,0.0,982.19,0.0,74.7,0.0,3.86,1.28,5.81,0.0,2023-08-24 13:00:00
1692882900000000000,32.0,0.0,983.64,0.0,74.7,0.0,3.54,1.12,6.93,0.0,2023-08-24 13:15:00
1692883800000000000,32.0,0.0,983.64,0.0,76.2,0.0,3.54,1.12,6.93,0.0,2023-08-24 13:30:00
1692884700000000000,31.6,0.0,984.18,0.0,76.2,0.0,3.11,0.76,5.2,0.0,2023-08-24 13:45:00
1692885600000000000,31.6,0.0,984.18,0.0,81.8,0.0,3.11,0.76,5.2,0.0,2023-08-24 14:00:00
1692886500000000000,32.0,0.0,984.01,0.0,81.8,0.0,3.38,1.32,5.61,0.0,2023-08-24 14:15:00
1692887400000000000,32.0,0.0,984.01,0.0,82.2,0.0,3.38,1.32,5.61,0.0,2023-08-24 14:30:00
1692888300000000000,33.0,33.6,975.05,0.0,39.2,6.92,3.59,1.71,5.945,655.0,2023-08-24 14:45:00
1692889200000000000,33.300000000000004,33.43333333333334,966.6666666666666,0.0,38.666666666666664,6.919999999999999,2.7466666666666666,0.9199999999999999,4.13,607.0,2023-08-24 15:00:00
1692890100000000000,31.366666666666664,30.833333333333332,966.0,0.0,41.3,6.760000000000001,3.07,1.343333333333333,6.146666666666666,470.3333333333333,2023-08-24 15:15:00
1692891000000000000,33.56666666666667,31.933333333333337,966.0,0.0,37.9,6.760000000000001,4.023333333333333,1.8499999999999996,8.866666666666667,752.3333333333334,2023-08-24 15:30:00
