ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
369,ID,ID-3,Site 3,Meadow,2023-09-02 18:36:30.436,2023-09-02 18:36:54.513,00:00:24.077000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:36:30.436
2740,ID,ID-4,Site 4,Meadow,2023-09-02 18:37:42.466,2023-09-02 18:39:52.472,00:02:10.006000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:37:42.466
370,ID,ID-3,Site 3,Meadow,2023-09-02 18:37:42.466,2023-09-02 18:39:52.472,00:02:10.006000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:37:42.466
371,ID,ID-3,Site 3,Meadow,2023-09-02 18:39:29.604,2023-09-02 18:39:32.496,00:00:02.892000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:39:29.604
2741,ID,ID-4,Site 4,Meadow,2023-09-02 18:39:29.604,2023-09-02 18:39:32.496,00:00:02.892000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:39:29.604
372,ID,ID-3,Site 3,Meadow,2023-09-02 18:40:22.031,2023-09-02 18:40:40.657,00:00:18.626000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:40:22.031
2742,ID,ID-4,Site 4,Meadow,2023-09-02 18:40:22.031,2023-09-02 18:40:40.657,00:00:18.626000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:40:22.031
373,ID,ID-3,Site 3,Meadow,2023-09-02 18:40:29.125,2023-09-02 18:40:34.901,00:00:05.776000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:40:29.125
2743,ID,ID-4,Site 4,Meadow,2023-09-02 18:40:29.125,2023-09-02 18:40:34.901,00:00:05.776000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:40:29.125
374,ID,ID-3,Site 3,Meadow,2023-09-02 19:18:34.223,2023-09-02 19:18:42.882,00:00:08.659000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 19:18:34.223
