ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
1277,ID,ID-2,Site 2,Maize Field,2023-08-24 18:34:21.966,2023-08-24 18:34:50.676,00:00:28.710000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:34:21.966
1278,ID,ID-2,Site 2,Maize Field,2023-08-24 19:29:17.545,2023-08-24 19:29:24.694,00:00:07.149000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 19:29:17.545
1279,ID,ID-2,Site 2,Maize Field,2023-08-24 19:39:27.365,2023-08-24 19:39:37.285,00:00:09.920000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 19:39:27.365
1280,ID,ID-2,Site 2,Maize Field,2023-08-25 07:23:44.764,2023-08-25 07:25:47.989,00:02:03.225000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 07:23:44.764
1281,ID,ID-2,Site 2,Maize Field,2023-08-25 07:36:33.024,2023-08-25 07:36:47.215,00:00:14.191000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 07:36:33.024
1282,ID,ID-2,Site 2,Maize Field,2023-08-25 09:03:33.002,2023-08-25 09:21:47.257,00:18:14.255000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:03:33.002
1283,ID,ID-2,Site 2,Maize Field,2023-08-25 09:04:21.345,2023-08-25 09:04:32.967,00:00:11.622000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:04:21.345
1284,ID,ID-2,Site 2,Maize Field,2023-08-25 09:08:05.617,2023-08-25 09:08:17.254,00:00:11.637000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:08:05.617
1285,ID,ID-2,Site 2,Maize Field,2023-08-25 09:19:23.651,2023-08-25 09:19:35.307,00:00:11.656000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:19:23.651
1286,ID,ID-2,Site 2,Maize Field,2023-08-25 09:19:39.650,2023-08-25 09:19:48.276,00:00:08.626000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:19:39.650
1287,ID,ID-2,Site 2,Maize Field,2023-08-25 09:20:14.128,2023-08-25 09:20:28.497,00:00:14.369000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:20:14.128
1288,ID,ID-2,Site 2,Maize Field,2023-08-25 09:20:44.115,2023-08-25 09:20:48.466,00:00:04.351000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-25 09:20:44.115
